22
0.000000 16384 0.000000
0.000000 0 0.000000
0.023309 16256 1.000000
0.064932 16128 2.000000
0.129630 16000 3.000000
0.212509 15872 4.000000
0.314774 77986 5.039668
0.421195 46604 6.055031
0.525342 76480 7.056676
0.626902 75848 8.049650
0.716896 75218 9.000208
0.798256 74356 10.020104
0.875767 44694 11.030161
0.920918 101654 12.047255
0.962759 100780 13.021921
0.996511 71838 13.986176
1.008969 70774 15.013503
1.029164 42784 16.020759
1.015499 150672 17.021451
1.018437 95772 18.023675
1.019846 68478 19.000311
1.003552 121052 20.011579
